[0.000000] (-) TimerEvent: {}
[0.000094] (-) JobUnselected: {'identifier': 'arm_checker'}
[0.000113] (-) JobUnselected: {'identifier': 'cpp_parameters'}
[0.000124] (-) JobUnselected: {'identifier': 'cpp_pub'}
[0.000134] (-) JobUnselected: {'identifier': 'cpp_srvcli'}
[0.000143] (-) JobUnselected: {'identifier': 'my_first_pkg'}
[0.000152] (-) JobUnselected: {'identifier': 'my_package'}
[0.000160] (-) JobUnselected: {'identifier': 'parameter_handler1'}
[0.000169] (-) JobUnselected: {'identifier': 'polygon_base'}
[0.000178] (-) JobUnselected: {'identifier': 'polygon_plugins'}
[0.000186] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_1'}
[0.000196] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_12'}
[0.000205] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_2'}
[0.000214] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_3'}
[0.000223] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_4'}
[0.000232] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_8'}
[0.000240] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_9'}
[0.000249] (-) JobUnselected: {'identifier': 'static_broadcast'}
[0.000258] (-) JobUnselected: {'identifier': 'tut_interfaces'}
[0.000267] (-) EventReactorShutdown: {}
